PARTY,ELECTORATE,SURNAME,FIRST NAME(S), TOTAL DONATIONS , TOTAL EXPENSES ,2020 Donor Return Part A Name and Steet Address,Date received,Contributions,Amount,Title,Name,Company/Org,Address,Other detail,Money or Goods and Services,Part B Contribution Name and Address,Date received,Donor Part A,Amount,Name,Company/Org,Address,Other detail,Money or Goods and Services,Notes
National Party,Tāmaki,O'CONNOR,Simon," $10,763.20 "," $8,071.98 ",,,,,,,,,,,,,,,,,,,,
National Party,Tāmaki,O'CONNOR,Simon,,,"NZ National Party, Tamaki Electorate,  41 Pipitea St, Wellington",7/7/20-28/11/20,NO," $10,763.20 ",,,"NZ National Party, Tamaki Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Manurewa,SAMARAKONE,Nuwi," $10,923.28 "," $8,241.60 ",,,,,,,,,,,,,,,,,,,,
National Party,Manurewa,SAMARAKONE,Nuwi,,,"NZ National Party, 41 Pipitea St, Wellington",17/7/20-27/11/20,NO," $10,923.28 ",,,,,,,,,,,,,,,,
National Party,Epsom,GOLDSMITH,Paul," $11,119.71 "," $5,925.53 ",,,,,,,,,,,,,,,,,,,,
National Party,Epsom,GOLDSMITH,Paul,,,"NZ National Party,  Epsom Electorate, 41 Pipitea St, Wellington",10/7/20-12/11/20,NO," $7,119.71 ",,,"NZ National Party, Epsom Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Epsom,GOLDSMITH,Paul,,,"Auckland City BMW, 7 Great South Road, Epsom",7/1/2020,NO," $4,000.00 ",,,Auckland City BMW,"7 Great South Road, Epsom",,Money,,,,,,,,,,
National Party,Mana,HAYES,Jo," $11,340.00 "," $10,253.66 ",,,,,,,,,,,,,,,,,,,,
National Party,Mana,HAYES,Jo,,,"NZ National Party, Bay of Plenty Electorate",7/7/2020,NO, $350.00 ,,,"NZ National Party, Bay of Plenty Electorate",,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Mana,HAYES,Jo,,,"NZ National Party, Wellington Central Electorate",7/1/2020,NO," $2,000.00 ",,,"NZ National Party, Wellington Central Electorate",,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Mana,HAYES,Jo,,,"NZ National Party, Auckland Central Electorate",7/23/2020,NO," $1,490.00 ",,,"NZ National Party, Auckland Central Electorate",,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Mana,HAYES,Jo,,,"NZ National Party, Epsom Electorate",2/10/2020,NO," $2,000.00 ",,,"NZ National Party, Epsom Electorate",,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Mana,HAYES,Jo,,,"NZ National Party, Upper Harbour Electorate",8/12/2020,NO," $2,000.00 ",,,"NZ National Party, Upper Harbour Electorate",,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Mana,HAYES,Jo,,,"NZ National Party, Rangitikei Electorate",8/17/2020,NO," $1,000.00 ",,,"NZ National Party, Rangitikei Electorate",,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Mana,HAYES,Jo,,,"NZ National Party, 41 Pipitea St, Wellington",9/4/2020,NO," $2,500.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
Labour Party,Epsom,BELICH,Camilla," $11,528.35 "," $9,658.94 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Epsom,BELICH,Camilla,,,"Mt Albert Labour Electorate Committee, 22 Grove Road, Sandringham ",8/21/2020,NO," $6,540.00 ",,,Mt Albert Labour Electorate Committee,"22 Grove Road, Sandringham ",'Great Debate' proceeds from Mt Albert Labour Electorate Committee fundraiser ,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Epsom,BELICH,Camilla,,,"Epsom Labour Electorate Committee, Level 3, 175 Queen St, Auckland ",7/26/2020,NO," $3,350.00 ",,,Epsom Labour Electorate Committee ,"Level 3, 175 Queen St, Auckland ",Parker and Politics' proceeds from Epsom Labour Electorate Committee fundraiser ,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Epsom,BELICH,Camilla,,,"Weston Kirton, 66 State Highway 41, RD4, Taumarunui ",24/06/20-16/10/20 ,NO," $1,638.20 ",,Weston Kirton,,"66 State Highway 41, RD4, Taumarunui ",Loan of vehicle for the campaign (estimated cash value) ,Goods and Services,,,,,,,,,,
Labour Party,Rangitīkei,PEKE-MASON,Soraya," $11,792.21 "," $8,369.03 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Rangitīkei,PEKE-MASON,Soraya,,,"NZ Labour Electorate Committee Rangitikei, 28 Signal Street, Marton ",18/8/20-16/10/20,NO," $11,792.21 ",,,NZ Labour Electorate Committee Rangitikei,"28 Signal Street, Marton ",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Christchurch East,PLATT,Lincoln," $11,863.00 "," $8,204.67 ",,,,,,,,,,,,,,,,,,,,
National Party,Christchurch East,PLATT,Lincoln,,,"NZ National Party, Christchurch East Electorate,  41 Pipitea St, Wellington",7/24/2020,NO," $1,000.00 ",,,"NZ National Party, Christchurch East Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Christchurch East,PLATT,Lincoln,,,"Canterbury Nationalist Centre Inc (Chair Ross Leckie), 11 Wardour Mews, Avonhead, Christchurch",8/12/2020,NO," $10,863.00 ",,,"Canterbury Nationalist Centre Inc (Chair Ross Leckie),","11 Wardour Mews, Avonhead, Christchurch",(Chair Ross Leckie),Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui," $11,960.37 "," $5,429.57 ",,,,,,,,,,,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",7/6/2020,NO, $730.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",7/6/2020,NO," $3,128.00 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",7/6/2020,NO, $30.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",7/21/2020,NO, $832.05 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",7/21/2020,NO, $350.75 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",8/3/2020,NO, $39.10 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",8/5/2020,NO, $93.58 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",8/25/2020,NO," $3,528.20 ",,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",9/1/2020,NO, $115.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",9/7/2020,NO, $171.82 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",9/8/2020,NO, $867.10 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",9/23/2020,NO, $343.75 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",9/24/2020,NO, $847.55 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",9/28/2020,NO, $402.50 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",9/29/2020,NO, $30.00 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",10/20/2020,NO, $224.24 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Waitaki,DEAN,Jacqui,,,"NZ National Party, 41 Pipitea St, Wellington",11/17/2020,NO, $226.48 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
The Opportunities Party (TOP),Ōhāriu,HAMMOND,Jessica," $12,000.00 "," $7,846.49 ",,,,,,,,,,,,,,,,,,,,
The Opportunities Party (TOP),Ōhāriu,HAMMOND,Jessica,,,"The Opportunities Party, 90 Crawford St, Dunedin","13/07/20, 04/09/20",NO," $10,000.00 ",,,The Opportunities Party,"90 Crawford St, Dunedin",,Money,,,,,,,,,,
The Opportunities Party (TOP),Ōhāriu,HAMMOND,Jessica,,,"Harry Walsh, 15 Norwich Stret, Wadestown",6/24/2020,NO," $2,000.00 ",,Harry Walsh,,"15 Norwich Stret, Wadestown",,Money,,,,,,,,,,
Labour Party,Wigram,WOODS,Megan," $12,000.00 "," $17,504.38 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Wigram,WOODS,Megan,,,"Tim Scott, Tim Scott Trust, 9 Greyfort Street, Silverdale",,NO," $2,000.00 ",,Tim Scott,Tim Scott Trust,"9 Greyfort Street, Silverdale",,Money,,,,,,,,,,"Date information incomplete (""15/0/20"")"
Labour Party,Wigram,WOODS,Megan,,,"Taoufik Elidrissi, 51 Rawson Road, Greenacre, Sydney and 111 Edenmore Terrace, Fitzherbert, Palmerston North  ","06/07/20, 10/08/20",NO," $10,000.00 ",,Taoufik Elidrissi,,"51 Rawson Road, Greenacre, Sydney and 111 Edenmore Terrace, Fitzherbert, Palmerston North  ",,Money,,,,,,,,,,
National Party,Kelston,BEERAM,Bala," $12,158.06 "," $14,086.71 ",,,,,,,,,,,,,,,,,,,,
National Party,Kelston,BEERAM,Bala,,,"UN Granite Ltd, 9 Turin Place, Otara",8/4/2020,NO," $1,550.00 ",,,UN Granite Ltd,"9 Turin Place, Otara",,Money,,,,,,,,,,
National Party,Kelston,BEERAM,Bala,,,"Balakrishna Gaunder Labour and Hoardings, 2/199 Puhinui Road, Papatoetoe.",8/31/2020,NO," $2,500.00 ",,,"Balakrishna Gaunder Labour and Hoardings,","2/199 Puhinui Road, Papatoetoe",,Money,,,,,,,,,,
National Party,Kelston,BEERAM,Bala,,,"Sugandi Consulting Ltd, 3 Griffen Park Rd, Mt.Roskill",01/07/20-16/10/20,NO," $2,500.00 ",,,"Sugandi Consulting Ltd,","3 Griffen Park Rd, Mt.Roskill",,Money,,,,,,,,,,
National Party,Kelston,BEERAM,Bala,,,"IndoNats, NZ National Party, 41 Pipitea St, Wellington",7/1/2020,NO," $5,000.00 ",,,"IndoNats, NZ National Party","41 Pipitea St, Wellington",,Money,,,,,,,,,,
National Party,Kelston,BEERAM,Bala,,,"NZ National Party, 41 Pipitea St, Wellington",9/1/2020,NO, $608.06 ,,,NZ National Party,"41 Pipitea St, Wellington",,Money,,,,,,,,,,
Labour Party,Tāmaki Makaurau,HENARE,Peeni," $12,499.50 "," $9,582.73 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Tāmaki Makaurau,HENARE,Peeni,,,"AWUNZ, c/o Po Box 78423, Grey Lynn, Auckland",8/2/2020,YES," $2,000.00 ",,,AWUNZ,"Po Box 78423, Grey Lynn, Auckland",,Money,"AWUNZ, c/o Po Box 78423, Grey Lynn, Auckland",8/2/2020,," $2,000.00 ",,AWUNZ,"Po Box 78423, Grey Lynn, Auckland",,Money,Incorrectly completed Part B by repeating Part A
Labour Party,Tāmaki Makaurau,HENARE,Peeni,,,"Francis Tipene, 24 Hill St, Onehunga, Auckland",7/30/2020,YES," $2,500.00 ",,Francis Tipene,,"24 Hill St, Onehunga, Auckland",,Money,"Francis Tipene, 24 Hill St, Onehunga, Auckland",7/30/2020,," $5,000.00 ",Francis & Kaiora Tipene,,"24 Hill St, Onehunga, Auckland",,Money,Part A entered as a joint donation of $5000; Incorrectly completed Part B by repeating Part A
Labour Party,Tāmaki Makaurau,HENARE,Peeni,,,"Kaiora Tipene, 24 Hill St, Onehunga, Auckland",7/30/2020,YES," $2,500.00 ",,Kaiora Tipene,,"24 Hill St, Onehunga, Auckland",,Money,,,,,,,,,,Part A entered as a joint donation of $5000 and repeated in Part B; Incorrectly completed Part B by repeating Part A
Labour Party,Tāmaki Makaurau,HENARE,Peeni,,,"Skye Kimura, 3 Bluegrey Ave, Stonefields, Mt Wellington, Auckland",9/1/2020,YES," $5,499.50 ",,Skye Kimura,,"3 Bluegrey Ave, Stonefields, Mt Wellington, Auckland",,Money,"Skye Kimura, 3 Bluegrey Ave, Stonefields, Mt Wellington, Auckland",9/1/2020,," $5,499.50 ",Skye Kimura,,"3 Bluegrey Ave, Stonefields, Mt Wellington, Auckland",,Money,Incorrectly completed Part B by repeating Part A
Integrity New Zealand,Mana,CARTWRIGHT,Helen," $12,584.32 "," $9,923.20 ",,,,,,,,,,,,,,,,,,,,
Integrity New Zealand,Mana,CARTWRIGHT,Helen,,,"Integrity New Zealand, C/O 91 Endeavour Drive, Whitby, 5024",9/1/2020,NO," $9,923.20 ",,,Integrity New Zealand,"C/O 91 Endeavour Drive, Whitby 5024",,Money,,,,,,,,,,
Integrity New Zealand,Mana,CARTWRIGHT,Helen,,,"Glen Evans, C/O 91 Endeavour Drive, Whitby, 5024",8/10/2020,NO," $2,661.12 ",,Glen Evans,,"91 Endeavour Drive, Whitby 5024",,Money,,,,,,,,,,
Labour Party,Te Tai Hauāuru,RURAWHE,Adrian," $12,850.00 "," $10,010.99 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Te Tai Hauāuru,RURAWHE,Adrian,,,"Christina Gush, 2997 S/H3, Whangaehu",20/02/20-1/10/20,NO," $3,050.00 ",,Christina Gush,,"2997 S/H3, Whangaehu",,Money,,,,,,,,,,
Labour Party,Te Tai Hauāuru,RURAWHE,Adrian,,,"Gaylene Nepia, 2B Wikitoria Road, Whanganui",1/10/2019-1/10/20,NO," $3,050.00 ",,Gaylene Nepia,,"2B Wikitoria Road, Whanganui",,Money,,,,,,,,,,
Labour Party,Te Tai Hauāuru,RURAWHE,Adrian,,,"Walter Rurawhe, 26 Gloucester Street, Whanganui",17/10/19-14/10/20,NO," $3,750.00 ",,Walter Rurawhe,,"26 Gloucester Street, Whanganui",,Money,,,,,,,,,,
Labour Party,Te Tai Hauāuru,RURAWHE,Adrian,,,"Jack Rurawhe, 2 Onyx Place, Napier",2/20/2020,NO," $3,000.00 ",,Jack Rurawhe,,"2 Onyx Place, Napier",,Money,,,,,,,,,,
Labour Party,Wairarapa,McANULTY,Kieran," $13,000.00 "," $25,941.00 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Wairarapa,McANULTY,Kieran,,,"Borman, David, 473B Queen St, Kuripuni, Masterton",8/13/2020,NO," $2,000.00 ",,"Borman, David",,"473B Queen St, Kuripuni, Masterton",,Money,,,,,,,,,,
Labour Party,Wairarapa,McANULTY,Kieran,,,"Prior, Owen, 124 Renall St, Masterton",2/14/2020,NO," $3,000.00 ",,"Prior, Owen",,"124 Renall St, Masterton",,Money,,,,,,,,,,
Labour Party,Wairarapa,McANULTY,Kieran,,,"Street, Kathryn, 10 Rewa St, Hataitai, Wellington",7/13/2020,NO," $2,000.00 ",,"Street, Kathryn",,"10 Rewa St, Hataitai, Wellington",,Money,,,,,,,,,,
Labour Party,Wairarapa,McANULTY,Kieran,,,"Street, Maryan, 10 Rewa St, Hataitai, Wellington",4/20/2020,NO," $2,500.00 ",,"Street, Maryan",,"10 Rewa St, Hataitai, Wellington",,Money,,,,,,,,,,
Labour Party,Wairarapa,McANULTY,Kieran,,,"Street, Maryan, 10 Rewa St, Hataitai, Wellington",8/28/2020,, $500.00 ,,"Street, Maryan",,"10 Rewa St, Hataitai, Wellington",,Money,,,,,,,,,,Missing Part B entry
Labour Party,Wairarapa,McANULTY,Kieran,,,"Napier Labour Electorate Committee, Napier",9/17/2020,NO," $3,000.00 ",,Napier Labour Electorate Committee,,Napier,,Money,,,,,,,,,,Missing complete address; Missing name of individual at whose direction the donation was made
ACT New Zealand,Epsom,SEYMOUR,David Breen," $13,640.65 "," $13,640.65 ",,,,,,,,,,,,,,,,,,,,
ACT New Zealand,Epsom,SEYMOUR,David Breen,,,"ACT New Zealand, Suite 2.5, Level 2, 27 Gillies Ave, Newmarket, Auckland",18/8/20-16/10/20,NO," $13,640.65 ",,,ACT New Zealand ,"Suite 2.5, Level 2, 27 Gillies Ave, Newmarket, Auckland",,Money,,,,,,,,,,
Labour Party,Mana,EDMONDS,Barbara," $14,000.00 "," $19,062.46 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Mana,EDMONDS,Barbara,,,"Andrea Black, 125 Creswick Terrace, Wellington",6/11/2020,NO," $2,000.00 ",,Andrea Black,,"25 Creswick Terrace, Wellington",,Money,,,,,,,,,,
Labour Party,Mana,EDMONDS,Barbara,,,"Sam Cooper, 15 Seaview Terrace, Northland, Northland",7/2/2020,NO," $5,000.00 ",,Sam Cooper,,"15 Seaview Terrace, Northland, Northland",,Money,,,,,,,,,,
Labour Party,Mana,EDMONDS,Barbara,,,"Neale Jones, 169 Rintoul Street, Berhampore, Wellington",7/9/2020,NO," $5,000.00 ",,Neale Jones,,"169 Rintoul Street, Berhampore, Wellington",,Money,,,,,,,,,,
Labour Party,Mana,EDMONDS,Barbara,,,"Farid Khan, 65 Whitford Brown Avenue, Aotea, Porirua",10/16/2020,NO," $2,000.00 ",,Farid Khan,,"65 Whitford Brown Avenue, Aotea, Porirua",,Money,,,,,,,,,,
Labour Party,Mt Roskill,WOOD,Michael Philip," $14,000.00 "," $14,793.62 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Mt Roskill,WOOD,Michael Philip,,,"Karl Petrie, 17 West End Rd, Herne Bay, Auckland",9/25/2020,NO," $2,000.00 ",,Karl Petrie,,"17 West End Rd, Herne Bay, Auckland",,Money,,,,,,,,,,
Labour Party,Mt Roskill,WOOD,Michael Philip,,,"Jan Hutchinson, 31 Renfraew Avenue, Sandringham Auckland 1041",8/17/2020,NO," $2,000.00 ",,Jan Hutchinson,,"31 Renfraew Avenue, Sandringham Auckland 1041",,Money,,,,,,,,,,
Labour Party,Mt Roskill,WOOD,Michael Philip,,,"Former Onehunga Electorate House Trust, authorised by Robert Gallagher, 15 Torrance St, Royal Oak, Auckland",4/30/2020,NO," $10,000.00 ",,,Former Onehunga Electorate House Trust,"15 Torrance St, Royal Oak, Auckland",authorised by Robert Gallagher,Money,,,,,,,,,,
National Party,Northland,KING,Matt," $14,807.48 "," $23,525.10 ",,,,,,,,,,,,,,,,,,,,
National Party,Northland,KING,Matt,,,"NZ National Party Northland Elect, 41 Pipitea St, WGTN",01/07/20-31/07/20,NO," $1,043.74 ",,,NZ National Party Northland Elect,"41 Pipitea St, WGTN",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northland,KING,Matt,,,"NZ National Party Northland Elect, 41 Pipitea St, WGTN",01/08/20-31/08/20,NO," $1,072.20 ",,,NZ National Party Northland Elect,"41 Pipitea St, WGTN",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northland,KING,Matt,,,"NZ National Party Northland Elect, 41 Pipitea St, WGTN",01/09/20-31/09/20,NO," $7,089.17 ",,,NZ National Party Northland Elect,"41 Pipitea St, WGTN",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northland,KING,Matt,,,"NZ National Party Northland Elect, 41 Pipitea St, WGTN",01/10/20-31/10/20,NO," $2,162.58 ",,,NZ National Party Northland Elect,"41 Pipitea St, WGTN",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northland,KING,Matt,,,"NZ National Party Northland Elect, 41 Pipitea St, WGTN",01/11/20-31/11/20,NO," $3,039.88 ",,,NZ National Party Northland Elect,"41 Pipitea St, WGTN",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northland,KING,Matt,,,"NZ National Party Northland Elect, 41 Pipitea St, WGTN",01/12/20-31/12/20,NO, $99.91 ,,,NZ National Party Northland Elect,"41 Pipitea St, WGTN",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
National Party,Northland,KING,Matt,,,"Kaiwaka Clothing, 169 SH1, Kaiwaka 0573",01/07/20-31/07/20,NO, $300.00 ,,,Kaiwaka Clothing,"169 SH1, Kaiwaka 0573",,Money,,,,,,,,,,
Labour Party,Ōhāriu,O'CONNOR,Greg," $14,925.40 "," $22,209.56 ",,,,,,,,,,,,,,,,,,,,
Labour Party,Ōhāriu,O'CONNOR,Greg,,,"Chris Parkin, 348 Oriental Parade Wellington",7/6/2020,NO," $2,000.00 ",,Chris Parkin,,348 Oriental Parade Wellington,,Money,,,,,,,,,,
Labour Party,Ōhāriu,O'CONNOR,Greg,,,"Craig Stewart Stratum Management, 29 Glen Road Kelburn Wellington",8/14/2020,NO," $5,000.00 ",,Craig Stewart,,29 Glen Road Kelburn Wellington,,Money,,,,,,,,,,
Labour Party,Ōhāriu,O'CONNOR,Greg,,,"Ohariu Labour Electorate Committee, 34 Norwich Street",7/20/2020,NO," $7,700.00 ",,,Ohariu Labour Electorate Committee,34 Norwich Street,,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Labour Party,Ōhāriu,O'CONNOR,Greg,,,Ohariu Electorate Office,2/10/2010,NO, $225.40 ,,,Ohariu Electorate Office,,photocopying,Goods and Services,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Hamilton East,BENNETT,David," $15,000.00 "," $14,510.25 ",,,,,,,,,,,,,,,,,,,,
National Party,Hamilton East,BENNETT,David,,,National Party Hamilton East Electorate,7/22/2020,NO," $15,000.00 ",,,NZ National Party Hamilton East Electorate,,,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Dunedin,WOODHOUSE,Michael," $15,000.00 "," $10,539.47 ",,,,,,,,,,,,,,,,,,,,
National Party,Dunedin,WOODHOUSE,Michael,,,"NZ National Party, Dunedin electorate, 41 Pipitea St, Wellington","17/7/2020, 16/9/2020",NO," $15,000.00 ",,,"NZ National Party, Dunedin electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
National Party,Whangaparāoa,MITCHELL,Mark," $15,015.13 "," $16,099.83 ",,,,,,,,,,,,,,,,,,,,
National Party,Whangaparāoa,MITCHELL,Mark,,,"NZ National Party, Whangaparaoa electorate, 41 Pipitea St, Wellington",10/1/2020,NO," $15,015.13 ",,,"NZ National Party, Whangaparaoa Electorate","41 Pipitea St, Wellington",,Money,,,,,,,,,,Missing address; Missing name of individual at whose direction the donation was made
Labour Party,New Lynn,RUSSELL,Deborah," $15,260.00 "," $10,563.79 ",,,,,,,,,,,,,,,,,,,,
Labour Party,New Lynn,RUSSELL,Deborah,,,"Professor Malcolm Wright, 8 Park Rd, Titirangi, Auckland 0604",5/17/2020,NO," $2,000.00 ", Professor  ,Malcolm Wright,,"8 Park Rd, Titirangi, Auckland 0604",,Money,,,,,,,,,,
Labour Party,New Lynn,RUSSELL,Deborah,,,"Greg Loveridge, 151 Queen St, SAP Tower, LvI 28, Auckland 1010",6/3/2020,NO," $5,000.00 ",,Greg Loveridge,,"151 Queen St, SAP Tower, LvI 28, Auckland 1010",,Money,,,,,,,,,,
Labour Party,New Lynn,RUSSELL,Deborah,,,"New Lynn Labour Electorate Commitee, C-/ 48 Wingate St Avondale, Auckland 0600",8/07/20-16/10/20,NO," $8,260.00 ",,,New Lynn Labour Electorate Committee,"C-/ 48 Wingate St Avondale, Auckland 0600",,Money,,,,,,,,,,Missing name of individual at whose direction the donation was made
Māori Party,Tāmaki Makaurau,TAMIHERE,John," $15,270.00 "," $15,546.06 ",,,,,,,,,,,,,,,,,,,,
Māori Party,Tāmaki Makaurau,TAMIHERE,John,,,Various Donors,10/16/2020,YES," $15,270.00 ",,Various Donors,Various Donors,,,Money,,,,,,,,,,Incorrectly entered - Part B should be Part A
Māori Party,Tāmaki Makaurau,TAMIHERE,John,,,Various Donors,10/16/2020,YES,,,Various Donors,Various Donors,,,Money,"Pat Galloway, 6/8 Goodman Place, Penrose, Auckland, NZ",8/11/2020,Pat Galloway," $14,995.00 ",Pat Galloway,,"6/8 Goodman Place, Penrose, Auckland, NZ",,Money,Incorrectly entered - Part B should be Part A
Māori Party,Ikaroa-Rāwhiti,TE AU-SKIPWORTH,Heather," $15,299.78 "," $10,101.71 ",,,,,,,,,,,,,,,,,,,,
Māori Party,Ikaroa-Rāwhiti,TE AU-SKIPWORTH,Heather,,,"Anthony Tahuri Whaipakanga, 218 Eskridge Dr, RD2, npr 4182",8/24/2020,NO," $1,000.00 ",,Anthony Tahuri Whaipakanga,,"218 Eskridge Dr, RD2, npr 4182",,Money,,,,,,,,,,Entered as a joint donation of $2000 with Waylyn Tahuri Whaipakanga 
Māori Party,Ikaroa-Rāwhiti,TE AU-SKIPWORTH,Heather,,,"Waylyn Tahuri Whaipakanga, 218 Eskridge Dr, RD2, npr 4182",8/24/2020,NO," $1,000.00 ",,Waylyn Tahuri Whaipakanga,,"218 Eskridge Dr, RD2, npr 4182",,,,,,,,,,,,Entered as a joint donation of $2000 with Anthony Tahuri Whaipakanga 
Māori Party,Ikaroa-Rāwhiti,TE AU-SKIPWORTH,Heather,,,"Tania Eden, 16 Churchill Dr, Taradale, npr 4112",9/21/2020,NO," $3,500.00 ",,Tania Eden,,"16 Churchill Dr, Taradale, npr 4112",,Money,,,,,,,,,,
Māori Party,Ikaroa-Rāwhiti,TE AU-SKIPWORTH,Heather,,,"Anthony Tahuri Whaipakanga, 218 Eskridge Dr, RD2, npr 4182",9/21/2020,NO," $1,232.50 ",,Anthony Tahuri Whaipakanga,,"218 Eskridge Dr, RD2, npr 4182",,Money,,,,,,,,,,Entered as a joint donation of $2465 with Waylyn Tahuri Whaipakanga 
Māori Party,Ikaroa-Rāwhiti,TE AU-SKIPWORTH,Heather,,,"Waylyn Tahuri Whaipakanga, 218 Eskridge Dr, RD2, npr 4182",9/21/2020,NO," $1,232.50 ",,Waylyn Tahuri Whaipakanga,,"218 Eskridge Dr, RD2, npr 4182",,,,,,,,,,,,Entered as a joint donation of $2465 with Anthony Tahuri Whaipakanga 
Māori Party,Ikaroa-Rāwhiti,TE AU-SKIPWORTH,Heather,,,"Ruatoria Branch: Connie Ferris, 128 Ruhunga Rd, Ruotorea 4081",9/21/2020,NO," $2,000.00 ",,Connie Ferris,Ruatoria Branch,"128 Ruhunga Rd, Ruotorea 4081",,Money,,,,,,,,,,
